regioncd,regionnm,ctyua19cd,ctyua19nm,Area Type,LE_Male,LE_Female,LEInequality_Male,LEInequality_Female,Mortality_all,Mortality_Cardio,Mortality_Cancer,Diabetes,Dementia,Smoking,Physical_Activity,Obesity,Employment,Homelessness,LowIncome_Child,ExcessWinterDeaths,Travel_Walk,Travel_Cycle,AHAH,AirPollution,FuelPoverty,EmploymentHealth_Gap,JobDensity,JSO,EconomicInactivity,IMD,WFP,Ethnic_Minority,OlderPersons,CareAdmissions,FluVaccine,NEET,SocialIsolation
E92000001,England,E10000011,East Sussex,County & UA (4/19-3/20),80.2086,83.9503,8.5,5,307.3585,59.2,124.8,69.4127,66.2,12.6439,67.7721,62.4895,73.6,0.8106,16.7,33.4318,19.5702,2.5612,16.0111,9.2483,9.3,11.4064,0.75,2.3922,24,19.77,95.2508,3.2,25.9484,502.9,73.2888,5.0085,49.2
E92000001,England,E10000012,Essex,County & UA (4/19-3/20),80.2468,83.307,8.1,6.3,308.3937,62.3,130.3,76.6034,64.9,13.1873,67.0525,62.5615,78.6,0.6716,14.4,32.752,21.4694,2.4648,20.7057,9.8132,8.8,9.5746,0.79,2.546,18.9,17.016,97.9163,6.7,20.6533,384.8,69.7445,3.7284,48.4
E92000001,England,E10000013,Gloucestershire,County & UA (4/19-3/20),80.2408,83.7425,8.4,5.4,295.7937,59.7,119.9,77.9074,68.1,12.9601,72.6208,60.6589,81.6,0.4439,12.6,29.9309,18.2615,2.9163,16.3984,8.3414,8.8,9.2279,0.88,1.6624,16.8,14.932,97.5899,4.2,21.5848,311.2,75.4847,5.7668,49.9
E92000001,England,E10000014,Hampshire,County & UA (4/19-3/20),81.1657,84.4349,7,5,272.3791,55.1,119.7,76.2699,65,9.9884,69.432,62.1059,80.5,0.1478,10.3,28.9793,19.8711,3.1829,21.1287,9.3531,6.8,8.5411,0.84,1.2999,17.1,12.693,97.0848,4.4,21.738,542.6,76.8848,3.8649,49.3
E92000001,England,E10000015,Hertfordshire,County & UA (4/19-3/20),80.9718,84.213,7.6,5.4,279.7503,58.5,118.7,73.104,66.7,10.9655,69.0771,60.1357,78.3,0.2759,11.5,25.7161,22.8404,2.2639,10.5519,10.1862,7.6,13.5139,0.98,2.1655,18.9,12.732,97.4449,10.7,17.1689,550.1,74.1435,3.3605,47.3
E92000001,England,E10000016,Kent,County & UA (4/19-3/20),79.8689,83.4259,7.5,5.4,317.441,64.7,131.6,76.5482,60.8,13.6852,69.0039,64.1748,76.5,1.5479,16.5,30.0447,22.8938,2.8095,15.6966,9.9035,8.9,10.6002,0.79,3.6994,20.4,19.538,96.4892,5.1,20.1951,477.3,70.7214,6.3636,52.3
E92000001,England,E10000017,Lancashire,County & UA (4/19-3/20),78.5353,82.1939,10.1,8.1,368.0196,81.4,138.3,78.1825,71.3,13.8491,66.1951,65.0493,75.7,0.3986,15.1,35.0051,17.4477,1.9002,5.8557,6.6416,12,12.366,0.79,2.8676,20.7,23.443,97.2515,7.6,20.7433,711.9,72.6272,10.0324,44
E92000001,England,E10000018,Leicestershire,County & UA (4/19-3/20),80.7135,84.172,6.3,5,283.8606,61.1,120.7,79.3668,68.9,11.9822,68.2814,64.4609,79.8,0.441,10.9,27.9028,16.47,2.7186,12.8449,9.2667,9.4,9.7111,0.81,1.0515,15.7,12.33,98.4047,7.8,20.5184,575.6,74.0929,5.8444,42.6
E92000001,England,E10000019,Lincolnshire,County & UA (4/19-3/20),79.21,82.8791,8.2,5.7,339.5976,78.2,132.5,84.1733,65.8,15.3177,64.7693,66.4645,76.1,0.1853,16.3,33.3462,17.2391,3.003,33.5965,8.3388,11.8,10.466,0.8,3.6176,20.6,20.29,96.4486,2.9,23.6205,604,72.7323,5.4695,45
E92000001,England,E10000020,Norfolk,County & UA (4/19-3/20),79.8957,83.9814,7.1,4.7,308.7573,64.6,125.9,75.4725,63.4,14.5343,67.894,62.6599,76.9,0.9287,15.1,35.1679,18.684,3.5844,35.2198,8.7282,11.5,11.5595,0.82,1.9916,20,21.183,96.0367,4,24.5292,561.4,72.268,4.7593,45.7
